Holdings details

FTSE Emerging Markets ETF (VWO)


Equity,as of 08/31/2026

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,BYY0144,PRIO SA/Brazil,PRIO3,0.08%,Oil & Gas Exploration & Production,BR,---,"$138,752,644.61","11,470,226"
,B2Q5H56,China Pacific Insurance Group Co Ltd,2601,0.08%,Multi-line Insurance,HK,---,"$138,587,557.88","36,019,592"
,6202673,Advantech Co Ltd,2395,0.08%,"Technology Hardware, Storage & Peripherals",TW,---,"$138,128,780.61","6,481,124"
,6412591,ADVANCED INFO SERVICE-FOREIG,ADVANC/F,0.08%,Wireless Telecommunication Services,TH,---,"$136,543,938.27","12,767,006"
,6273583,Apollo Hospitals Enterprise Ltd,APHS,0.08%,Health Care Facilities,IN,---,"$136,482,893.68","1,461,556"
,B1VT035,Yangzijiang Shipbuilding Holdings Ltd,YZJSGD,0.08%,Construction Machinery & Heavy Transportation Equipment,SG,---,"$136,378,900.19","35,901,098"
,BR56KD4,Hindustan Aeronautics Ltd,HNAL,0.08%,Aerospace & Defense,IN,---,"$135,977,409.10","2,697,560"
,B44ZV94,China Hongqiao Group Ltd,1378,0.08%,Aluminum,HK,---,"$134,082,005.08","46,223,000"
,6139362,Oil & Natural Gas Corp Ltd,ONGC,0.08%,Integrated Oil & Gas,IN,---,"$133,387,905.51","54,799,202"
,B03MP41,Aselsan Elektronik Sanayi Ve Ticaret AS,ASELS,0.08%,Aerospace & Defense,TR,---,"$133,378,580.96","16,660,991"
,B1YCHL8,Cia de Saneamento Basico do Estado de Sao Paulo SABESP,SBSP3,0.08%,Water Utilities,BR,---,"$132,737,566.30","27,206,738"
,BZBFKT7,Bid Corp Ltd,BID,0.08%,Food Distributors,ZA,---,"$132,734,680.01","4,754,118"
,B1W0JF2,China CITIC Bank Corp Ltd,998,0.08%,Diversified Banks,HK,---,"$132,546,510.94","124,465,476"
,2100845,Banco de Chile,CHILE,0.07%,Diversified Banks,CL,---,"$131,872,834.61","639,381,157"
,6352493,King Yuan Electronics Co Ltd,2449,0.07%,Semiconductors,TW,---,"$130,872,539.54","16,170,943"
,6191997,CSPC Pharmaceutical Group Ltd,1093,0.07%,Pharmaceuticals,HK,---,"$130,537,515.72","111,082,529"
,5624030,CEZ AS,CEZ,0.07%,Electric Utilities,CZ,---,"$129,786,164.83","1,957,858"
,BL951P4,LandMark Optoelectronics Corp,3081,0.07%,Semiconductor Materials & Equipment,TW,---,"$129,607,904.90","1,163,525"
,6001728,Abu Dhabi Islamic Bank PJSC,ADIB,0.07%,Diversified Banks,AE,---,"$128,666,100.28","20,684,358"
,BMB5YK5,H World Group Ltd,1179,0.07%,"Hotels, Resorts & Cruise Lines",HK,---,"$128,376,368.47","27,372,630"
,6177878,Discovery Ltd,DSY,0.07%,Life & Health Insurance,ZA,---,"$127,319,236.02","7,927,484"
,B12LSY7,Saudi Awwal Bank,SABB,0.07%,Diversified Banks,SA,---,"$127,157,997.62","14,026,717"
,6801575,Shoprite Holdings Ltd,SHP,0.07%,Food Retail,ZA,---,"$126,430,781.73","6,615,780"
,B01VRK0,Adani Enterprises Ltd,ADE,0.07%,Trading Companies & Distributors,IN,---,"$125,316,503.80","4,179,140"
,B73XCZ3,Taiwan Cooperative Financial Holding Co Ltd,5880,0.07%,Diversified Banks,TW,---,"$122,140,060.95","151,641,056.4"
