Holdings details

FTSE Developed Markets ETF (VEA)


Equity,as of 08/31/2026

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,6569464,Marubeni Corp,8002,0.13%,Trading Companies & Distributors,JP,---,"$440,441,986.69","14,396,303"
,BL56KN2,Alimentation Couche-Tard Inc,ATD,0.13%,Food Retail,CA,---,"$438,800,817.35","7,285,923"
,B15C4L6,Constellation Software Inc/Canada,CSU,0.13%,Application Software,CA,---,"$438,107,291.14","193,453"
,BSZBP53,Reckitt Benckiser Group PLC,RKT,0.13%,Household Products,GB,---,"$434,035,925.28","6,284,784"
,BMX86B7,Haleon PLC,HLN,0.13%,Pharmaceuticals,GB,---,"$434,002,560.63","87,130,661"
,7110753,Holcim AG,HOLN,0.13%,Construction Materials,CH,---,"$433,266,219.17","4,940,717"
,BMGT167,Woodside Energy Group Ltd,WDS,0.13%,Oil & Gas Exploration & Production,AU,---,"$431,294,778.20","18,537,007"
,5165294,ASM International NV,ASM,0.13%,Semiconductor Materials & Equipment,NL,---,"$429,664,757.07","456,864"
,2566124,Sun Life Financial Inc,SLF,0.13%,Life & Health Insurance,CA,---,"$426,350,594.50","5,428,577"
,6661144,ORIX Corp,8591,0.13%,Diversified Financial Services,JP,---,"$421,757,940.68","10,840,488"
,2166160,Cameco Corp,CCO,0.13%,Coal & Consumable Fuels,CA,---,"$420,200,533.63","4,256,519"
,B57FG04,Cenovus Energy Inc,CVE,0.13%,Integrated Oil & Gas,CA,---,"$419,873,951.82","13,071,076"
,B3DF0Y6,KB Financial Group Inc,105560,0.13%,Diversified Banks,KR,---,"$419,144,571.69","3,341,293"
,BF5M0K5,SoftBank Corp,9434,0.13%,Wireless Telecommunication Services,JP,---,"$416,368,250.92","281,094,010"
,6882172,Teva Pharmaceutical Industries Ltd,TEVA,0.12%,Pharmaceuticals,IL,---,"$408,983,694.77","11,369,609"
,BYQFRK5,Waste Connections Inc,WCN,0.12%,Environmental & Facilities Services,CA,---,"$407,689,002.55","2,465,148"
,5529027,Mercedes-Benz Group AG,MBG,0.12%,Automobile Manufacturers,DE,---,"$406,746,233.64","7,432,443"
,6858708,Sumitomo Electric Industries Ltd,5802,0.12%,Automotive Parts & Equipment,JP,---,"$404,615,418.03","29,218,356"
,6496584,Komatsu Ltd,6301,0.12%,Construction Machinery & Heavy Transportation Equipment,JP,---,"$403,184,897.48","8,718,043"
,B1VQ252,Sandvik AB,SAND,0.12%,Industrial Machinery & Supplies & Components,SE,---,"$402,537,814.54","10,046,608"
,B1WT5G2,DSV A/S,DSV,0.12%,Air Freight & Logistics,DK,---,"$401,251,747.67","1,909,576"
,B1YXBJ7,Air Liquide SA,AI,0.12%,Industrial Gases,FR,---,"$401,019,315.15","2,038,484"
,7380482,Cie de Saint-Gobain SA,SGO,0.12%,Building Products,FR,---,"$400,084,994.06","4,414,255"
,6356945,Fujitsu Ltd,6702,0.12%,IT Consulting & Other Services,JP,---,"$396,072,154.89","16,498,590"
,B11ZRK9,Legrand SA,LR,0.12%,Electrical Components & Equipment,FR,---,"$395,048,048.05","2,489,898"
,B1W4V69,Prysmian SpA,PRY,0.12%,Electrical Components & Equipment,IT,---,"$393,303,991.40","2,813,802"
,0790873,SSE PLC,SSE,0.12%,Electric Utilities,GB,---,"$390,430,180.99","11,877,082"
,6435145,Honda Motor Co Ltd,7267,0.12%,Automobile Manufacturers,JP,---,"$389,794,555.81","36,410,430"
,B03FYZ4,GOODMAN GROUP,GMG,0.12%,Industrial REITs,AU,---,"$387,640,764.58","19,548,844"
